Full Address,LAT_LONG
"25 WEST 127 STREET New York, NY 10027","[40.8083387, -73.94230809999999]"
"50 WEST 127 STREET New York, NY 10027","[40.8083043, -73.9433528]"
"50 WEST 127TH STREET                      New York, NY 10027","[40.8083043, -73.9433528]"
"2070 ADAM C POWELL BLVD New York, NY 10027","[40.80828169999999, -73.9493887]"
"44 WEST 127 STREET New York, NY 10027","[40.8082796, -73.9431117]"
"252 WEST 123 STREET New York, NY 10027","[40.8082574, -73.95121689999999]"
"59 MORNINGSIDE AVENUE New York, NY 10027","[40.808254, -73.955871]"
"145-57 MORNINGSIDE AVE New York, NY 10027","[40.8081877, -73.95595279999999]"
"371 WEST 120TH STREET New York, NY 10027","[40.808177, -73.9559355]"
"13 WEST 127TH STREET                      New York, NY 10027","[40.808174, -73.9419637]"
"497 MANHATTAN AVENUE New York, NY 10027","[40.8080941, -73.9548791]"
"265 WEST 122ND STREET                     New York, NY 10027","[40.8080674, -73.9517106]"
"361 WEST 120 STREET                       New York, NY 10027","[40.8080426, -73.9555334]"
"357 WEST 120TH STREET New York, NY 10027","[40.80798770000001, -73.9554186]"
"355 WEST 120TH STREET New York, NY 10027","[40.8079779, -73.9553497]"
"355 WEST 120 STREET New York, NY 10027","[40.8079779, -73.9553497]"
"2268 FREDRICK DOUGLASS BL                 New York, NY 10027","[40.8079188, -73.9525142]"
"2071 ADAM C POWELL BLVD                   New York, NY 10027","[40.807856, -73.9486787]"
"216 WEST 123 STREET                       New York, NY 10027","[40.80783599999999, -73.950288]"
"200-12 WEST 127TH STREET                  New York, NY 10027","[40.807802, -73.94216899999999]"
"242 WEST 122 STREET                       New York, NY 10027","[40.807705, -73.951931]"
"302A WEST 121 STREET                      New York, NY 10027","[40.80768339999999, -73.953754]"
"291 LENOX AVENUE                          New York, NY 10027","[40.8076819, -73.9460105]"
"52 WEST 126 STREET                        New York, NY 10027","[40.807676, -73.9437669]"
"75 WEST 125 STREET New York, NY 10027","[40.807649, -73.9448044]"
"138-140 WEST 124TH STREET New York, NY 10027","[40.8076334, -73.9475777]"
"140 WEST 124 STREET New York, NY 10027","[40.8076334, -73.9475777]"
"13 WEST 126 STREET                        New York, NY 10027","[40.8076313, -73.94250869999999]"
"317 WEST 120TH STREET                     New York, NY 10027","[40.8076094, -73.954641]"
"155 WEST 123RD ST                         New York, NY 10027","[40.8076052, -73.94853049999999]"
"138 WEST 124 STREET New York, NY 10027","[40.8075848, -73.9475377]"
"420 RIVERSIDE DR New York, NY 10025","[40.8075829, -73.96633469999999]"
"420 RIVERSIDE DRIVE New York, NY 10025","[40.8075829, -73.96633469999999]"
"215 WEST 122 STREET                       New York, NY 10027","[40.807568, -73.95043629999999]"
"305 WEST 120 STREET                       New York, NY 10027","[40.8074279, -73.9539693]"
"2235 FREDERICK DOUGLASS B New York, NY 10027","[40.807426, -73.9535703]"
"2235 FREDRICK DOUGLASS BL New York, NY 10027","[40.807426, -73.9535703]"
"2235 FREDERICK DOUGLAS BO New York, NY 10027","[40.80742530000001, -73.9535751]"
"259 WEST 121ST                            New York, NY 10027","[40.8074209, -73.95211239999999]"
"600 WEST 115TH STREET New York, NY 10025","[40.8074141, -73.9648936]"
"417 RIVERSIDE DRIVE New York, NY 10025","[40.80733670000001, -73.9666342]"
"247 WEST 121 STREET                       New York, NY 10027","[40.8072755, -73.951768]"
"212 WEST 122 STREET                       New York, NY 10027","[40.8072344, -73.95066589999999]"
"229 WEST 121 STREET                       New York, NY 10027","[40.807193, -73.95152689999999]"
"609 WEST 114TH New York, NY 10025","[40.8071866, -73.9655781]"
"609 WEST 114 New York, NY 10025","[40.8071866, -73.9655781]"
"117 WEST 123RD STREET                     New York, NY 10027","[40.8070901, -73.9474169]"
"117 WEST 123 STREET New York, NY 10027","[40.8070901, -73.9474169]"
"60 WEST 125 STREET New York, NY 10027","[40.8070573, -73.9444779]"
"136 WEST 123 STREET                       New York, NY 10027","[40.8070034, -73.9480943]"
"622 WEST 114TH ST New York, NY 10025","[40.80699, -73.966129]"
"622 WEST 114TH STREET New York, NY 10025","[40.80699, -73.966129]"
"161 WEST 122ND STREET                     New York, NY 10027","[40.8069413, -73.9490127]"
"248 WEST 121 STREET                       New York, NY 10027","[40.806932, -73.95204799999999]"
"246 WEST 121 STREET                       New York, NY 10027","[40.806909, -73.95199699999999]"
"627 WEST 113TH STREET                     New York, NY 10025","[40.8068926, -73.9666443]"
"157 WEST 122 STREET New York, NY 10027","[40.8068897, -73.94892089999999]"
"625 WEST 113 STREET New York, NY 10025","[40.8068666, -73.9665794]"
"615-617 WEST 113TH STREET New York, NY 10025","[40.80676589999999, -73.9663891]"
"615 WEST 113TH STREET New York, NY 10025","[40.8067127, -73.9663128]"
"35 WEST 124 STREET                        New York, NY 10027","[40.8066064, -73.9440187]"
"35 WEST 124 STREET New York, NY 10027","[40.8066064, -73.9440187]"
"131 WEST 122 STREET                       New York, NY 10027","[40.8065938, -73.9481287]"
"131 WEST 122 STREET New York, NY 10027","[40.8065938, -73.9481287]"
"264 LENOX AVE                             New York, NY 10027","[40.8065175, -73.9459371]"
"152 WEST 122 STREET                       New York, NY 10027","[40.8064848, -73.94892089999999]"
"206 WEST 121ST STREET New York, NY 10027","[40.8064847, -73.950884]"
"35 MT MORRIS PARK WEST                    New York, NY 10027","[40.806339, -73.944768]"
"606 WEST 113TH STREET New York, NY 10025","[40.8062434, -73.96594639999999]"
"400 RIVERSIDE DRIVE New York, NY 10025","[40.8061842, -73.9670704]"
"54 MORNINGSIDE DRIVE New York, NY 10025","[40.806033, -73.9597695]"
"241 LENOX AVENUE New York, NY 10027","[40.8059934, -73.9469207]"
