,Full Address,LAT_LONG
291,"296 WEST 92ND   STREET                    New York, NY 10025",
292,"19 WEST 96TH   STREET                     New York, NY 10025",
293,"190 RIVERSIDE DRIVE                       New York, NY 10024",
294,"257 WEST 93RD STREET                      New York, NY 10025",
295,"206 WEST 95TH   STREET                    New York, NY 10025",
296,"206 WEST 95TH   STREET New York, NY 10025",
297,"205 WEST 95TH STREET New York, NY 10025",
298,"275 WEST 96TH   STREET                    New York, NY 10025",
299,"203 WEST 98TH ST. New York, NY 10025",
300,"306 WEST 97TH   STREET                    New York, NY 10025",
301,"245 WEST 99TH   STREET New York, NY 10025",
302,"209 WEST 104TH STREET New York, NY 10025",
303,"209 WEST 104TH STREET                     New York, NY 10025",
304,"200 WEST 108TH STREET New York, NY 10025",
305,"2770 BROADWAY                             New York, NY 10025",
306,"200 WEST 109TH STREET New York, NY 10025",
307,"200 WEST 109TH STREET                     New York, NY 10025",
308,"203 WEST 122ND STREET New York, NY 10027",
309,"203 WEST 122ND STREET                     New York, NY 10027",
310,"207 W.122ND ST                            New York, NY 10027",
311,"222 ST NICHOLAS AVENUE                    New York, NY 10027",
312,"20 WEST 127TH STREET New York, NY 10027",
313,"271 WEST 122ND STREET                     New York, NY 10027",
314,"265 WEST 123RD STREET                     New York, NY 10027",
315,"19 WEST 128TH STREET                      New York, NY 10027",
316,"255 WEST 131ST STREET                     New York, NY 10027",
317,"2256 7TH AVENUE                           New York, NY 10027",
318,"245 WEST 132ND STREET                     New York, NY 10027",
319,"201 EAST 17 ST New York, NY 10003",
320,"2 SOUTH END New York, NY 10280",
321,"227 LENOX AVENUE                          New York, NY 10027",
322,"202 LENOX AVENUE                          New York, NY 10027",
323,"191 LENOX AVENUE                          New York, NY 10027",
324,"196 LENOX AVENUE                          New York, NY 10027",
325,"224 FIRST AVENUE                          New York, NY 10009",
326,"206 EAST 16 New York, NY 10003",
327,"200 EAST 16 New York, NY 10003",
328,"243 THIRD AVENUE                          New York, NY 10003",
329,"205 THIRD AVE New York, NY 10003",
330,"220 THIRD AVENUE                          New York, NY 10003",
331,"20 CLINTON                                New York, NY 10002",
332,"194 FIRST AVENUE                          New York, NY 10009",
333,"31 GRAMERCY PARK                          New York, NY 10003",
334,"880 GREENE AVENUE New York, NY 10027",
335,"10 LITTLE WEST STREET                     New York, NY 10280",
336,"90 MAIDEN LANE                            New York, NY 10038",
337,"90 MAIDEN LANE New York, NY 10038",
338,"70 LITTLE WEST STREET                     New York, NY 10280",
339,"80 MAIDEN LANE New York, NY 10038",
340,"115 SOUTH STREET                          New York, NY 10038",
341,"30 WEST STREET                            New York, NY 10280",
342,"30 WEST STREET New York, NY 10280",
343,"130 BEEKMAN STREET New York, NY 10038",
344,"117 BEEKMAN STREET New York, NY 10038",
345,"2 SOUTH END AVENUE                        New York, NY 10280",
346,"2 SOUTH END AVENUE New York, NY 10280",
347,"247 WATER STREET                          New York, NY 10038",
348,"160 SOUTH STREET                          New York, NY 10038",
349,"90 WILLIAM ST New York, NY 10038",
350,"90 WILLIAM STREET New York, NY 10038",
351,"21 SOUTH END AVENUE New York, NY 10280",
352,"80 JOHN STREET New York, NY 10038",
353,"244 FRONT STREET                          New York, NY 10038",
354,"23 PECK SLIP                              New York, NY 10038",
355,"99 JOHN STREET New York, NY 10038",
356,"99 JOHN ST New York, NY 10038",
357,"269 WATER STREET                          New York, NY 10038",
358,"27 CLIFF STREET New York, NY 10038",
359,"273 WATER STREET New York, NY 10038",
360,"277 WATER STREET New York, NY 10038",
361,"100 BEEKMAN ST New York, NY 10038",
362,"200 RECTOR PLACE New York, NY 10280",
363,"264-266 WATER STREET                      New York, NY 10038",
364,"272 WATER STREET                          New York, NY 10038",
365,"299 PEARL STREET New York, NY 10038",
366,"299 PEARL ST New York, NY 10038",
367,"59 JOHN STREET                            New York, NY 10038",
368,"59 JOHN STREET New York, NY 10038",
369,"300 RECTOR PLACE                          New York, NY 10280",
370,"300 RECTOR PLACE New York, NY 10280",
371,"77 FULTON ST New York, NY 10038",
372,"380 RECTOR PL                             New York, NY 10280",
373,"380 RECTOR PLACE                          New York, NY 10280",
374,"130 WILLIAM STREET                        New York, NY 10038",
375,"92 FULTON STREET                          New York, NY 10038",
376,"90 BEEKMAN STREET New York, NY 10038",
377,"225 RECTOR PLACE New York, NY 10280",
378,"65 NASSAU STREET                          New York, NY 10038",
379,"333 PEARL STREET New York, NY 10038",
380,"102 FULTON STREET                         New York, NY 10038",
381,"71 NASSAU STREET New York, NY 10038",
382,"106 FULTON STREET                         New York, NY 10038",
383,"174 BROADWAY                              New York, NY 10038",
384,"90 GOLD ST                                New York, NY 10038",
385,"90 GOLD STREET New York, NY 10038",
386,"250 SOUTH END AVENUE New York, NY 10280",
387,"176 BROADWAY New York, NY 10038",
388,"75-81 NASSAU STREET                       New York, NY 10038",
389,"300 ALBANY STREET New York, NY 10280",
390,"300 ALBANY ST New York, NY 10280",
391,"83 NASSAU STREET                          New York, NY 10038",
392,"119 FULTON STREET New York, NY 10038",
393,"45 BEEKMAN STREET                         New York, NY 10038",
394,"350 ALBANY ST                             New York, NY 10280",
395,"350 ALBANY STREET                         New York, NY 10280",
396,"140 FULTON STREET New York, NY 10038",
397,"25 ANN STREET New York, NY 10038",
398,"115 NASSAU STREET New York, NY 10038",
399,"140 NASSAU STREET New York, NY 10038",
400,"5 BEEKMAN STREET                          New York, NY 10038",
401,"5 BEEKMAN STREET New York, NY 10038",
402,"253 CLINTON STREET                        New York, NY 10002",
403,"150 NASSAU STREET New York, NY 10038",
404,"31 PARK ROW                               New York, NY 10038",
405,"39 MONROE STREET                          New York, NY 10002",
406,"31 MONROE                                 New York, NY 10002",
407,"49 MONROE STREET                          New York, NY 10002",
408,"53 MONROE STREET                          New York, NY 10002",
409,"148 MADISON STREET New York, NY 10002",
410,"31 CATHERINE STREET                       New York, NY 10038",
411,"109 MADISON STREET                        New York, NY 10002",
412,"50 HENRY STREET New York, NY 10002",
413,"30 RUTGERS STREET New York, NY 10002",
414,"27 HENRY STREET New York, NY 10002",
415,"27 HENRY STREET                           New York, NY 10002",
416,"11 E BROADWAY                             New York, NY 10038",
417,"83 HENRY STREET                           New York, NY 10002",
418,"17-23 EAST BROADWAY                       New York, NY 10002",
419,"17-23 EAST BROADWAY New York, NY 10002",
420,"17 EAST BROADWAY New York, NY 10002",
421,"577 GRAND ST New York, NY 10002",
422,"180 PARK ROW New York, NY 10038",
423,"473 FDR DRIVE New York, NY 10002",
424,"165 HENRY STREET                          New York, NY 10002",
425,"8 CATHERINE STREET New York, NY 10038",
426,"193 HENRY STREET                          New York, NY 10002",
427,"153 EAST BROADWAY                         New York, NY 10002",
428,"173 EAST BROADWAY New York, NY 10002",
429,"572 GRAND STREET New York, NY 10002",
430,"572 GRAND ST New York, NY 10002",
431,"570 GRAND STREET New York, NY 10002",
432,"568 GRAND STREET New York, NY 10002",
433,"98 EAST BROADWAY                          New York, NY 10002",
434,"136 EAST BROADWAY                         New York, NY 10002",
435,"150 EAST BROADWAY                         New York, NY 10002",
436,"154 EAST BROADWAY New York, NY 10002",
437,"1 PIKE STREET                             New York, NY 10002",
438,"115 DIVISION STREET New York, NY 10002",
439,"550 GRAND STREET New York, NY 10002",
440,"141 DIVISION STREET                       New York, NY 10002",
441,"135 DIVISION STREET New York, NY 10002",
442,"1 ELDRIDGE STREET New York, NY 10002",
443,"226 EAST BROADWAY                         New York, NY 10002",
444,"2 ALLEN STREET                            New York, NY 10002",
445,"530D GRAND STREET New York, NY 10002",
446,"210 EAST BROADWAY New York, NY 10002",
447,"23 CANAL STREET New York, NY 10002",
448,"35 CANAL STREET                           New York, NY 10002",
449,"504 GRAND STREET New York, NY 10002",
