,Full Address,LatLong
196,"244 EAST 75TH STREET                      New York, NY 10021",
197,"19 EAST 70TH   STREET                     New York, NY 10021",
198,"207 EAST 74TH   STREET New York, NY 10021",
199,"207 EAST 74TH ST. New York, NY 10021",
200,"207 EAST 74TH STREET New York, NY 10021",
201,"1022 LEXINGTON AVENUE                     New York, NY 10021",
202,"136 EAST 73RD   STREET                    New York, NY 10021",
203,"50 EAST 72ND   STREET New York, NY 10021",
204,"336 EAST 77TH STREET New York, NY 10075",
205,"334 EAST 77TH STREET New York, NY 10075",
206,"353 EAST 77TH   STREET                    New York, NY 10075",
207,"36 EAST 72ND   STREET New York, NY 10021",
208,"872 MADISON AVENUE                        New York, NY 10021",
209,"350 EAST 77TH STREET New York, NY 10075",
210,"328 EAST 77TH   STREET New York, NY 10075",
211,"345 EAST 77TH STREET New York, NY 10075",
212,"322 EAST 77TH   STREET                    New York, NY 10075",
213,"33 EAST END AVENUE New York, NY 10028",
214,"40 EAST 72ND   STREET New York, NY 10021",
215,"510 EAST 80TH   STREET New York, NY 10075",
216,"345 EAST 77TH New York, NY 10075",
217,"3 EAST 71ST STREET New York, NY 10021",
218,"157 EAST 74TH   STREET                    New York, NY 10021",
219,"39 EAST 72ND   STREET                     New York, NY 10021",
220,"325 EAST 77TH   STREET New York, NY 10075",
221,"196 EAST 75TH STREET New York, NY 10021",
222,"350 EAST 78TH STREET New York, NY 10075",
223,"188 EAST 75TH ST New York, NY 10021",
224,"338 EAST 78TH STREET New York, NY 10075",
225,"315 EAST 77TH   STREET New York, NY 10075",
226,"328 EAST 78TH   STREET                    New York, NY 10075",
227,"19 EAST 72ND STREET New York, NY 10021",
228,"512 EAST 81ST   STREET                    New York, NY 10028",
229,"343 E 78TH STREET New York, NY 10075",
230,"306 EAST 78TH   STREET New York, NY 10075",
231,"306 EAST 78TH   STREET                    New York, NY 10075",
232,"52 EAST END AVENUE                        New York, NY 10028",
233,"321 EAST 78TH   STREET                    New York, NY 10075",
234,"319 EAST 78TH   STREET                    New York, NY 10075",
235,"188 EAST 76TH   STREET                    New York, NY 10021",
236,"315 EAST 78TH   STREET                    New York, NY 10075",
237,"1057-1059 LEXINGTON AVENUE                New York, NY 10021",
238,"334 EAST 79TH   STREET                    New York, NY 10075",
239,"239 EAST 77TH   STREET                    New York, NY 10075",
240,"330 EAST 79TH   STREET New York, NY 10075",
241,"195 EAST 76TH STREET                      New York, NY 10021",
242,"333 EAST 79TH   STREET New York, NY 10075",
243,"333 EAST 79TH STREET New York, NY 10075",
244,"333 EAST 79TH   STREET                    New York, NY 10075",
245,"308 EAST 79TH ST New York, NY 10075",
246,"308 EAST 79TH   STREET New York, NY 10075",
247,"213 EAST 77TH   STREET                    New York, NY 10075",
248,"201 EAST 77TH   STREET                    New York, NY 10075",
249,"261 EAST 78TH   STREET New York, NY 10075",
250,"33 EAST 74TH STREET                       New York, NY 10021",
251,"39 EAST 74TH   STREET                     New York, NY 10021",
252,"259 EAST 78TH ST New York, NY 10075",
253,"37 EAST 74TH   STREET                     New York, NY 10021",
254,"323 EAST 79TH   STREET New York, NY 10075",
255,"20 EAST 74TH STREET New York, NY 10021",
256,"20 EAST 74TH STREET                       New York, NY 10021",
257,"933 MADISON AVENUE                        New York, NY 10021",
258,"239 EAST 78TH STREET                      New York, NY 10075",
259,"330 EAST 80TH STREET                      New York, NY 10075",
260,"330 EAST 80TH   STREET New York, NY 10075",
261,"301 E.79TH STREET                         New York, NY 10075",
262,"340 EAST 80TH   STREET New York, NY 10075",
263,"200 EAST 78TH STREET New York, NY 10075",
264,"345 EAST 80TH ST                          New York, NY 10075",
265,"345 EAST 80TH   STREET                    New York, NY 10075",
266,"345 EAST 80TH  STREET                     New York, NY 10075",
267,"345 EAST 80TH STREET                      New York, NY 10075",
268,"240 EAST 79TH   STREET New York, NY 10075",
269,"333 EAST 80TH   STREET New York, NY 10075",
270,"316 EAST 80TH   STREET                    New York, NY 10075",
271,"205 E 78TH STREET New York, NY 10075",
272,"205 EAST 78TH   STREET                    New York, NY 10021",
273,"330 EAST 80TH New York, NY 10075",
274,"188 EAST 78TH   STREET                    New York, NY 10075",
275,"345 EAST 80TH                             New York, NY 10075",
276,"345 EAST 80TH New York, NY 10075",
277,"325 EAST 80TH   STREET New York, NY 10075",
278,"239 EAST 79TH ST New York, NY 10075",
279,"315 EAST 80TH   STREET New York, NY 10075",
280,"345 EAST 81ST   STREET New York, NY 10028",
281,"229 EAST 79TH STREET New York, NY 10075",
282,"229 E 79TH STREET New York, NY 10075",
283,"336 EAST 81ST   STREET                    New York, NY 10028",
284,"167 EAST 78TH   STREET New York, NY 10075",
285,"32 EAST 76TH STREET                       New York, NY 10021",
286,"32 EAST 76TH   STREET                     New York, NY 10021",
287,"200 EAST 79TH STREET New York, NY 10075",
288,"200 EAST 79TH   STREET                    New York, NY 10075",
289,"308 EAST 81ST   STREET                    New York, NY 10028",
290,"335 EAST 81ST STREET New York, NY 10028",
291,"201 E 79TH STREET New York, NY 10075",
292,"331 EAST 81ST STREET                      New York, NY 10028",
293,"331 EAST 81ST STREET New York, NY 10028",
294,"334 EAST 82ND STREET New York, NY 10028",
