,lat,long,year,count
105,40.764178614668104,-73.9611896716642,2014,10
106,40.764178614668104,-73.9611896716642,2016,7
107,40.764179,-73.96119,2015,10
108,40.7642846544611,-73.95831249302991,2016,5
109,40.764285,-73.958312,2015,4
110,40.764315,-73.968767,2015,1
111,40.764315410372,-73.96876684526421,2014,3
112,40.764315410372,-73.96876684526421,2016,2
113,40.764394,-73.965579,2015,9
114,40.76439409963871,-73.96557923213,2014,8
115,40.76439409963871,-73.96557923213,2016,12
116,40.764468435447505,-73.95799109304551,2014,10
117,40.7645918613561,-73.96605203335521,2014,2
118,40.7645918613561,-73.96605203335521,2016,5
119,40.764592,-73.966052,2015,3
120,40.764617,-73.960247,2015,13
121,40.7646174520835,-73.96024721865109,2014,6
122,40.7646174520835,-73.96024721865109,2016,10
123,40.7646385400305,-73.96611337875301,2014,1
124,40.7646385400305,-73.96611337875301,2016,4
125,40.764639,-73.966113,2015,4
126,40.7646725858361,-73.97012041058059,2014,2
127,40.7646725858361,-73.97012041058059,2016,3
128,40.764672999999995,-73.97012,2015,1
129,40.7647708644954,-73.9681348887648,2016,1
130,40.764824,-73.962716,2015,4
131,40.764824133229205,-73.9627163096485,2014,4
132,40.764824133229205,-73.9627163096485,2016,4
133,40.7648454511964,-73.9607885771185,2014,4
134,40.7648454511964,-73.9607885771185,2016,1
135,40.76485340319471,-73.9688532321078,2014,1
136,40.764872,-73.966713,2015,2
137,40.7648720177636,-73.9667125141557,2014,6
138,40.7648720177636,-73.9667125141557,2016,3
139,40.764879678888704,-73.96478478877621,2014,3
140,40.764879678888704,-73.96478478877621,2016,5
141,40.76488,-73.96478499999999,2015,11
142,40.7649736303945,-73.966911011749,2014,2
143,40.7649736303945,-73.966911011749,2016,3
144,40.764974,-73.966911,2015,2
145,40.7649740162114,-73.9682828003605,2016,1
146,40.765027,-73.963193,2015,13
147,40.7650273973191,-73.9631927123642,2014,19
148,40.7650273973191,-73.9631927123642,2016,8
149,40.765053,-73.967146,2015,2
150,40.7650532950504,-73.967145620535,2014,2
151,40.7650532950504,-73.967145620535,2016,3
152,40.765093321749,-73.96335151492251,2014,1
153,40.7651619918441,-73.96351392627159,2014,3
154,40.7651619918441,-73.96351392627159,2016,3
155,40.765162,-73.963514,2015,2
156,40.7651854229209,-73.95969816236291,2014,1
157,40.7651854229209,-73.95969816236291,2016,1
158,40.765218,-73.968106,2015,11
159,40.7652182493682,-73.9681057948472,2014,9
160,40.7652182493682,-73.9681057948472,2016,2
161,40.7652598045035,-73.969524499448,2014,1
162,40.7652598045035,-73.969524499448,2016,1
163,40.765301,-73.969665,2015,1
164,40.7653669273398,-73.9698204697586,2014,1
165,40.7653669273398,-73.9698204697586,2016,4
166,40.765367,-73.96982,2015,1
167,40.765495557729395,-73.96843056194109,2014,3
168,40.765496,-73.96843100000001,2015,4
169,40.7655547676656,-73.9644017716083,2014,2
170,40.7655547676656,-73.9644017716083,2016,1
171,40.765555,-73.964402,2015,3
172,40.765569,-73.966427,2015,1
173,40.765569099324104,-73.96642697553229,2014,2
174,40.765569099324104,-73.96642697553229,2016,4
175,40.7656075383169,-73.96647027621441,2014,1
176,40.7656075383169,-73.96647027621441,2016,1
177,40.76562,-73.962846,2015,38
178,40.765620150200895,-73.962845824239,2014,36
179,40.765620150200895,-73.962845824239,2016,29
180,40.7656756384188,-73.96473382779571,2014,9
181,40.7656756384188,-73.96473382779571,2016,3
182,40.765676,-73.96473399999999,2015,9
183,40.765684681401,-73.9588928282007,2016,1
184,40.765685,-73.958893,2015,1
185,40.765747173783005,-73.9653005618767,2014,1
186,40.765747173783005,-73.9653005618767,2016,2
187,40.7657767059181,-73.9631742481875,2014,10
188,40.7657767059181,-73.9631742481875,2016,13
189,40.765777,-73.963174,2015,6
190,40.765800586999504,-73.9697841730982,2014,3
191,40.765800586999504,-73.9697841730982,2016,2
192,40.765868735351205,-73.95933313693979,2014,4
193,40.765868735351205,-73.95933313693979,2016,3
194,40.765869,-73.959333,2015,5
195,40.765943160608,-73.96920650472909,2014,1
