,LAT,LONG,YEAR,SALE PRICE
315,40.770355,-73.962456,2017,5544024
316,40.7704279,-73.95253709999999,2017,420000
317,40.77044,-73.957909,2017,1889000
318,40.77044,-73.957909,2018,640000
319,40.7704513,-73.9548752,2017,9820000
320,40.770474,-73.94779799999999,2017,6300000
321,40.770534000000005,-73.956159,2017,683500
322,40.770546100000004,-73.9670704,2017,4807000
323,40.770546100000004,-73.9670704,2018,2849000
324,40.770577,-73.952292,2017,957000
325,40.7706042,-73.95228459999998,2017,2890000
326,40.7706042,-73.95228459999998,2018,1135000
327,40.770606,-73.954364,2017,755000
328,40.7706063,-73.9543643,2017,11119000
329,40.7706377,-73.96025159999999,2017,2347500
330,40.7706377,-73.96025159999999,2018,710000
331,40.7706411,-73.96796040000001,2017,6640000
332,40.7706555,-73.95807049999999,2018,350000
333,40.770664000000004,-73.955019,2018,642500
334,40.770715,-73.96441800000001,2017,1400000
335,40.770715,-73.956579,2017,4744499
336,40.7707184,-73.9480822,2017,2400000
337,40.77072329999999,-73.9533504,2017,4239000
338,40.77072329999999,-73.9533504,2018,350000
339,40.7707469,-73.96468270000001,2017,2500000
340,40.770765999999995,-73.959249,2017,1895000
341,40.770795,-73.963511,2018,495000
342,40.770818,-73.9506838,2017,1500000
343,40.7708195,-73.9595235,2017,9913000
344,40.770902,-73.9587488,2017,7575000
345,40.770915,-73.96150300000001,2017,4150000
346,40.770922999999996,-73.94883399999999,2017,5445000
347,40.770922999999996,-73.94883399999999,2018,1235000
348,40.770951000000004,-73.953594,2017,875000
349,40.7709564,-73.9487946,2017,1400000
350,40.770961,-73.947905,2017,6227592
351,40.770972,-73.964224,2017,899000
352,40.770972,-73.964224,2018,1200000
353,40.771034,-73.951447,2017,485000
354,40.771035,-73.961282,2017,1200500
355,40.771109,-73.9600038,2017,9910000
356,40.771109,-73.9600038,2018,1535000
357,40.771152,-73.951724,2017,1295000
358,40.771157200000005,-73.96463689,2018,1253500
359,40.771186,-73.949538,2017,10653500
360,40.771186,-73.949538,2018,1200000
361,40.771221000000004,-73.958326,2017,2200000
362,40.7712635,-73.95475235,2017,404500
