,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LAT,LONG,LAT_LONG
12312,12316,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1427,38, ,D4,"210 EAST 73RD STREET, PHA", ,10021,0,0,0, -  , -  ,1929,2,D4,3500000,2017-01-11 00:00:00,40.769968,-73.959268,"(40.769968, -73.959268)"
12313,12317,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1427,38, ,D4,"210 EAST 73RD STREET, 5E", ,10021,0,0,0, -  , -  ,1929,2,D4,845000,2017-02-23 00:00:00,40.769968,-73.959268,"(40.769968, -73.959268)"
12318,12322,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1428,9, ,D4,"215 EAST 73RD STREET, 8D", ,10021,0,0,0, -  , -  ,1930,2,D4,515000,2017-01-11 00:00:00,40.7701,-73.959066,"(40.7701, -73.959066)"
12325,12329,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1428,45, ,D4,"200 EAST 74TH STREET, 5H", ,10021,0,0,0, -  , -  ,1962,2,D4,1625000,2017-01-19 00:00:00,40.770766,-73.959249,"(40.770766, -73.959249)"
12337,12341,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1431,11, ,D4,"221 EAST 76TH   STREET, 5F", ,10021,0,0,0, -  , -  ,1929,2,D4,365000,2017-02-17 00:00:00,40.771975,-73.957615,"(40.771975, -73.957615)"
12357,12361,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1432,1, ,D4,"201 EAST 77TH STREET, 10D", ,10075,0,0,0, -  , -  ,1965,2,D4,1475000,2017-01-10 00:00:00,40.772928,-73.957907,"(40.772928, -73.957907)"
12365,12369,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1432,5, ,D4,"205 EAST 77TH STREET, 2E", ,10075,0,0,0, -  , -  ,1962,2,D4,374500,2017-01-17 00:00:00,40.772864,-73.957709,"(40.772864, -73.957709)"
12382,12386,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1433,34, ,D4,"230 EAST 79TH STREET, 4D", ,10075,0,0,0, -  , -  ,1964,2,D4,400000,2017-01-04 00:00:00,40.773607,-73.9561,"(40.773607, -73.9561)"
12383,12387,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1433,34, ,D4,"230 EAST 79TH   STREET, 14B", ,10075,0,0,0, -  , -  ,1964,2,D4,450000,2017-02-01 00:00:00,40.773607,-73.9561,"(40.773607, -73.9561)"
12413,12417,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1440,5, ,D4,"315 EAST 65TH ST, 9A", ,10065,0,0,0, -  , -  ,1962,2,D4,930000,2017-01-20 00:00:00,40.764197,-73.960872,"(40.764197, -73.960872)"
