,LAT,LONG,YEAR,count
202,40.767929200000005,-73.95786429,2017,2
203,40.767929200000005,-73.95786429,2018,1
204,40.767936,-73.960673,2017,1
205,40.7679592,-73.95701762,2018,1
206,40.767975799999995,-73.96090705,2017,1
207,40.767977,-73.960756,2017,4
208,40.768019,-73.962242,2017,1
209,40.768042,-73.960883,2017,1
210,40.7680605,-73.9569554,2017,2
211,40.768068799999995,-73.9572439,2017,2
212,40.768068799999995,-73.9572439,2018,1
213,40.7682671,-73.95972359999999,2017,1
214,40.768304,-73.95585600000001,2018,1
215,40.76830675,-73.95646395,2017,2
216,40.768366,-73.966636,2017,1
217,40.768451899999995,-73.9569678,2017,2
218,40.768461,-73.95993399999999,2017,1
219,40.7684699,-73.95396070000001,2017,1
220,40.7684719,-73.9618968,2017,2
221,40.7684719,-73.9618968,2018,1
222,40.768471999999996,-73.961897,2017,4
223,40.7685029,-73.9499885,2017,7
224,40.7685029,-73.9499885,2018,3
225,40.7685235,-73.9692691,2017,5
226,40.7685235,-73.9692691,2018,1
227,40.768524,-73.969269,2017,1
228,40.768534,-73.957318,2018,1
229,40.768654999999995,-73.961813,2017,1
230,40.768663399999994,-73.9527438,2017,2
231,40.768663399999994,-73.9527438,2018,1
232,40.768667,-73.963796,2018,1
233,40.768714,-73.954335,2017,1
234,40.76875020000001,-73.9571521,2017,8
235,40.76875020000001,-73.9571521,2018,1
236,40.768771799999996,-73.9509299,2017,2
237,40.768771799999996,-73.9509299,2018,1
238,40.76879,-73.952555,2017,3
239,40.768823,-73.960257,2017,7
240,40.768823,-73.956541,2018,1
241,40.768843,-73.958055,2017,6
242,40.76892905,-73.95602748,2017,8
243,40.76898,-73.954451,2018,1
244,40.768995700000005,-73.9518254,2017,3
245,40.769013799999996,-73.9615832,2017,1
246,40.769013799999996,-73.9615832,2018,1
247,40.769048,-73.957453,2017,1
248,40.769076500000004,-73.9546283,2017,5
249,40.769076500000004,-73.9546283,2018,3
250,40.769116,-73.95674100000001,2017,1
251,40.769166999999996,-73.958816,2017,3
252,40.769166999999996,-73.958816,2018,3
253,40.7691961,-73.9677084,2017,3
254,40.769198100000004,-73.96668009999999,2017,2
255,40.7692027,-73.9688841,2017,1
256,40.7692298,-73.958897,2017,1
257,40.76924879999999,-73.9557745,2017,3
258,40.7692526,-73.95877127,2017,1
259,40.769401,-73.967993,2017,1
260,40.769502200000005,-73.9644761,2017,3
261,40.769502200000005,-73.9644761,2018,1
262,40.7695057,-73.965469,2017,2
263,40.7695057,-73.965469,2018,1
264,40.769506,-73.955786,2017,3
265,40.76953820000001,-73.95576659999999,2017,3
266,40.76953820000001,-73.95576659999999,2018,2
267,40.769594,-73.95870500000001,2017,4
268,40.769594,-73.95870500000001,2018,1
269,40.769625,-73.950078,2017,1
270,40.769625,-73.950078,2018,1
271,40.769704100000006,-73.9596547,2017,4
272,40.769705,-73.965154,2017,1
