,lat,long,year,price
115,40.76439409963871,-73.96557923213,2016,17276816
116,40.764468435447505,-73.95799109304551,2014,32303500
117,40.7645918613561,-73.96605203335521,2014,5150000
118,40.7645918613561,-73.96605203335521,2016,4656387
119,40.764592,-73.966052,2015,4456595
120,40.764617,-73.960247,2015,9471000
121,40.7646174520835,-73.96024721865109,2014,3227500
122,40.7646174520835,-73.96024721865109,2016,5296450
123,40.7646385400305,-73.96611337875301,2014,1775000
124,40.7646385400305,-73.96611337875301,2016,6085000
125,40.764639,-73.966113,2015,5082500
126,40.7646725858361,-73.97012041058059,2014,5375000
127,40.7646725858361,-73.97012041058059,2016,8746715
128,40.764672999999995,-73.97012,2015,2250000
129,40.7647708644954,-73.9681348887648,2016,4650000
130,40.764824,-73.962716,2015,6512500
131,40.764824133229205,-73.9627163096485,2014,5927500
