"Filing.Year","LATITUDE","LONGITUDE","Total"
1990,40.773844,-73.950223,2
1990,40.773845,-73.959697,1
1990,40.773864,-73.965997,1
1990,40.773913,-73.957577,1
1990,40.773941,-73.958621,4
1990,40.773958,-73.959613,1
1990,40.773988,-73.959617,1
1990,40.773994,-73.959588,1
1990,40.774001,-73.964617,1
1990,40.774017,-73.964704,2
1990,40.774053,-73.956729,3
1990,40.77408,-73.956837,2
1990,40.774081,-73.951403,1
1990,40.774108,-73.956902,3
1990,40.774121,-73.961635,2
1990,40.77413,-73.950854,1
1990,40.774154,-73.95445,1
1990,40.774178,-73.961148,3
1990,40.774253,-73.963296,2
1990,40.774253,-73.963253,2
1990,40.774267,-73.963328,3
1990,40.774291,-73.948309,1
1990,40.774326,-73.953335,1
1990,40.774414,-73.947637,1
1990,40.774417,-73.953504,1
1990,40.774444,-73.953569,2
1990,40.774471,-73.959877,3
1990,40.774472,-73.953634,2
1990,40.774509,-73.957144,3
1990,40.774549,-73.964003,1
1990,40.774565,-73.954172,1
1990,40.774602,-73.950006,1
1990,40.774634,-73.963368,5
1990,40.774687,-73.957013,1
1990,40.774711,-73.96118,3
1990,40.774755,-73.954031,4
1990,40.77476,-73.962494,1
1990,40.774796,-73.953977,1
1990,40.774799,-73.963245,2
1990,40.774811,-73.958523,2
1990,40.774824,-73.962685,4
1990,40.77484,-73.962722,2
1990,40.774853,-73.953959,1
1990,40.774881,-73.9479,3
1990,40.774983,-73.964758,1
1990,40.775058,-73.956717,1
1990,40.775087,-73.947752,1
1990,40.775158,-73.962985,1
1990,40.775168,-73.959367,2
1990,40.775195,-73.957313,3
1990,40.775235,-73.955489,2
1990,40.775289,-73.959703,1
1990,40.7753,-73.960772,4
1990,40.775322,-73.960169,2
1990,40.775332,-73.956544,2
1990,40.775352,-73.958623,1
1990,40.775377,-73.945795,1
1990,40.775411,-73.962107,3
1990,40.775414,-73.949962,1
1990,40.77542,-73.956479,4
1990,40.77542,-73.956453,2
1990,40.775426,-73.951962,1
1990,40.775428,-73.949994,1
1990,40.775432,-73.945972,1
1990,40.775496,-73.962306,2
1990,40.775586,-73.946286,2
1990,40.775605,-73.953388,2
1990,40.775718,-73.953305,1
1990,40.775768,-73.964609,1
1990,40.775939,-73.958172,2
1990,40.775941,-73.955142,1
1990,40.775948,-73.961266,1
1990,40.775976,-73.961331,1
1990,40.775992,-73.947065,1
1990,40.776003,-73.960233,2
1990,40.776011,-73.959302,1
1990,40.776022,-73.960768,1
1990,40.776035,-73.943978,1
1990,40.776077,-73.95941,2
1990,40.776093,-73.951611,1
1990,40.776111,-73.963992,1
1990,40.776112,-73.957565,1
1990,40.776125,-73.963757,1
1990,40.776176,-73.946953,2
1990,40.776233,-73.945733,1
1990,40.776344,-73.948134,2
1990,40.776355,-73.948159,2
1990,40.776362,-73.946036,1
1990,40.776363,-73.948134,1
1990,40.776375,-73.949733,1
1990,40.77641,-73.948242,2
1990,40.776422,-73.949723,1
1990,40.776459,-73.962432,3
1990,40.776501,-73.943646,2
1990,40.776526,-73.956579,1
1990,40.776542,-73.949636,1
1990,40.776559,-73.957716,1
1990,40.776586,-73.954716,1
1990,40.776614,-73.949556,1
1990,40.776638,-73.961908,1
1990,40.776641,-73.962851,2
1990,40.77671,-73.951069,2
1990,40.776738,-73.951134,4
1990,40.776744,-73.959716,5
1990,40.776857,-73.961262,1
1990,40.776858,-73.949307,2
1990,40.776976,-73.94331,1
1990,40.777017,-73.95529,2
1990,40.777028,-73.963211,2
1990,40.77714,-73.949195,1
1990,40.777182,-73.956174,1
1990,40.777194,-73.95985,3
1990,40.777224,-73.959366,6
1990,40.777285,-73.962323,2
1990,40.777287,-73.95834,2
1990,40.7773,-73.949079,2
1990,40.777318,-73.962395,1
1990,40.777349,-73.962471,1
1990,40.777353,-73.958539,2
1990,40.777358,-73.956586,2
1990,40.777379,-73.948483,1
1990,40.7774,-73.952076,1
1990,40.777405,-73.959214,2
1990,40.777406,-73.948548,2
1990,40.777418,-73.96341,1
1990,40.777451,-73.956763,1
1990,40.777455,-73.960713,1
1990,40.777462,-73.950783,2
1990,40.777476,-73.950772,1
1990,40.777509,-73.944901,1
1990,40.777663,-73.959499,3
1990,40.777704,-73.951314,2
1990,40.777788,-73.948721,3
1990,40.777843,-73.955722,3
1990,40.777844,-73.957694,1
1990,40.777851,-73.954708,1
1990,40.777857,-73.948674,1
1990,40.777917,-73.963041,1
1990,40.777925,-73.948624,1
1990,40.777939,-73.956733,1
1990,40.777939,-73.947862,1
1990,40.777972,-73.956029,2
1990,40.777989,-73.956069,1
1990,40.77799,-73.960008,1
1990,40.778011,-73.956166,2
1990,40.778094,-73.960254,1
1990,40.778118,-73.944406,1
1990,40.778298,-73.954357,4
1990,40.778322,-73.952779,2
1990,40.778364,-73.954996,1
1990,40.778378,-73.948291,2
1990,40.778401,-73.95709,1
1990,40.778402,-73.953014,1
1990,40.778413,-73.947053,1
1990,40.778415,-73.958477,2
1990,40.778447,-73.957159,2
1990,40.778452,-73.955249,1
1990,40.778457,-73.95314,2
1990,40.778471,-73.953133,1
1990,40.77852,-73.947309,2
1990,40.778578,-73.953389,1
1990,40.778588,-73.945193,1
1990,40.778605,-73.953494,1
1990,40.778633,-73.962546,1
1990,40.778639,-73.955689,2
1990,40.778671,-73.947623,3
1990,40.778706,-73.957769,2
1990,40.778751,-73.962077,1
1990,40.778775,-73.95995,1
1990,40.778895,-73.951252,3
1990,40.778924,-73.961972,1
1990,40.778926,-73.95392,2
1990,40.779024,-73.950443,1
1990,40.779095,-73.956725,1
1990,40.779117,-73.956776,7
1990,40.779124,-73.946789,1
1990,40.779127,-73.947745,2
1990,40.779132,-73.952605,1
1990,40.779168,-73.954779,4
1990,40.779183,-73.956935,2
1990,40.7792,-73.957906,2
1990,40.779234,-73.954938,2
1990,40.779252,-73.957094,1
1990,40.779267,-73.955017,1
1990,40.77927,-73.955736,1
1990,40.779271,-73.950713,3
1990,40.779279,-73.957209,2
1990,40.779284,-73.955097,1
1990,40.779287,-73.955057,1
1990,40.779311,-73.961459,2
1990,40.779324,-73.959946,3
1990,40.779328,-73.955205,5
1990,40.779339,-73.955714,1
1990,40.779344,-73.955241,4
1990,40.779358,-73.955277,1
1990,40.779388,-73.961394,1
1990,40.779403,-73.959426,1
1990,40.779414,-73.957249,2
1990,40.779509,-73.949605,1
1990,40.779523,-73.950533,1
1990,40.779558,-73.961531,4
1990,40.779591,-73.947409,1
1990,40.779651,-73.947337,7
1990,40.779722,-73.946225,1
1990,40.779755,-73.954125,2
1990,40.779774,-73.952222,3
