"","sale_id","year","nbhd","block","lot","address","zip","sale_date","price","long","lat"
"1768",49301,"2016","UPPER EAST SIDE (79-96)","1513","5","103 EAST 84TH STREET, 1B","10028","08/09/2016",700000,-73.9577690791637,40.7787053169999
"1769",49302,"2015","UPPER EAST SIDE (59-79)","1393","52","50 EAST 79TH STREET, 7C","10075","08/24/2015",2000000,-73.961616,40.776096
"1770",49302,"2016","UPPER EAST SIDE (79-96)","1513","9","119 EAST 84TH STREET, 8A","10028","12/14/2016",1850000,-73.9573250826812,40.7785157666185
"1771",49303,"2015","UPPER EAST SIDE (59-79)","1393","52","50 EAST 79TH STREET, 7B","10075","12/02/2015",1400000,-73.961616,40.776096
"1772",49303,"2016","UPPER EAST SIDE (79-96)","1513","20","145 EAST 84TH STREET, 15A","10028","11/30/2016",1150000,-73.95622412111,40.778054237898
"1773",49305,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85TH STREET, 20F","10028","01/25/2016",1400000,-73.9570935236465,40.7792512699564
"1774",49306,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85TH STREET, 4F","10028","02/12/2016",1325000,-73.9570935236465,40.7792512699564
"1775",49307,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85TH   STREET","10028","03/04/2016",1525000,-73.9570935236465,40.7792512699564
"1776",49308,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85TH ST, 24A","10028","05/24/2016",1115000,-73.9570935236465,40.7792512699564
"1777",49309,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85TH STREET, 16DE","10028","06/07/2016",3825000,-73.9570935236465,40.7792512699564
"1778",49310,"2016","UPPER EAST SIDE (79-96)","1514","8","111 E. 85TH STREET, 3F","10028","04/12/2016",1325000,-73.9570935236465,40.7792512699564
"1779",49311,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85TH STREET, 16A","10028","07/25/2016",1865000,-73.9570935236465,40.7792512699564
"1780",49312,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85TH STREET, 14G","10028","02/05/2016",1800000,-73.9570935236465,40.7792512699564
"1781",49313,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85TH STREET, 11B","10028","08/08/2016",450000,-73.9570935236465,40.7792512699564
"1782",49316,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85, 8G","10028","09/28/2016",1675000,-73.9570935236465,40.7792512699564
"1783",49317,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85TH STREET, 16F","10028","09/22/2016",1225000,-73.9570935236465,40.7792512699564
"1784",49318,"2016","UPPER EAST SIDE (79-96)","1514","8","111 EAST 85TH ST, 7E","10028","10/25/2016",765000,-73.9570935236465,40.7792512699564
"1785",49319,"2016","UPPER EAST SIDE (79-96)","1514","66","108 EAST 86TH STREET, 10S","10028","08/03/2016",1700000,-73.9566272978848,40.7799263004753
"1786",49320,"2016","UPPER EAST SIDE (79-96)","1514","69","1035 PARK AVENUE, 16B","10028","07/28/2016",3725000,-73.9573349809628,40.7799732251686
"1787",49321,"2016","UPPER EAST SIDE (79-96)","1515","1","1045 PARK AVENUE, 2B","10028","08/16/2016",2005000,-73.9570277933927,40.7803930555952
"1788",49323,"2016","UPPER EAST SIDE (79-96)","1515","8","115 EAST 86TH STREET, 93","10028","10/05/2016",900000,-73.9564937223209,40.7798905685565
"1789",49324,"2016","UPPER EAST SIDE (79-96)","1515","70","1049 PARK AVENUE, 6C","10028","03/16/2016",1850000,-73.9569446685447,40.7805110481999
"1790",49325,"2016","UPPER EAST SIDE (79-96)","1515","70","1049 PARK AVENUE, 14A","10028","12/06/2016",3500000,-73.9569446685447,40.7805110481999
"1791",49326,"2015","UPPER EAST SIDE (59-79)","1395","50","150 EAST 61ST STREET, 7J","10065","03/18/2015",475000,-73.966912,40.763319
"1792",49326,"2016","UPPER EAST SIDE (79-96)","1515","70","1049 PARK AVENUE, 12B","10028","12/07/2016",1635000,-73.9569446685447,40.7805110481999
"1793",49327,"2015","UPPER EAST SIDE (59-79)","1395","50","150 EAST 61ST STREET, 10J","10065","04/02/2015",459000,-73.966912,40.763319
"1794",49328,"2015","UPPER EAST SIDE (59-79)","1395","50","150 EAST 61ST STREET, 9JK","10065","04/28/2015",1325000,-73.966912,40.763319
"1795",49329,"2015","UPPER EAST SIDE (59-79)","1395","50","150 EAST 61 STREET, 2B","10065","05/28/2015",505000,-73.966912,40.763319
"1796",49330,"2015","UPPER EAST SIDE (59-79)","1395","50","150 EAST 61ST STREET, 8K","10065","06/18/2015",499000,-73.966912,40.763319
"1797",49331,"2015","UPPER EAST SIDE (59-79)","1395","50","150 EAST 61ST STREET, 14D","10065","07/31/2015",1475000,-73.966912,40.763319
"1798",49332,"2015","UPPER EAST SIDE (59-79)","1395","50","150 EAST 61ST STREET, 16A","10065","09/17/2015",495000,-73.966912,40.763319
"1799",49335,"2015","UPPER EAST SIDE (59-79)","1396","1","535 PARK AVENUE, 9C","10065","09/16/2015",145000,-73.968767,40.764315
"1800",49337,"2015","UPPER EAST SIDE (59-79)","1396","33","167 EAST 61ST STREET, 5B","10065","02/10/2015",1120175,-73.966526,40.763176
"1801",49338,"2015","UPPER EAST SIDE (59-79)","1396","33","167 EAST 61ST STREET, 20B","10065","06/03/2015",1500000,-73.966526,40.763176
"1802",49339,"2015","UPPER EAST SIDE (59-79)","1396","33","167 EAST 61ST, 30B","10065","06/18/2015",1565000,-73.966526,40.763176
"1803",49341,"2015","UPPER EAST SIDE (59-79)","1396","33","167 EAST 61ST STREET, 16B","10065","12/01/2015",1450000,-73.966526,40.763176
